name	value
SystemDrive	C:
ProgramFiles(x86)	C:\Program Files (x86)
ProgramW6432	C:\Program Files
PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 63 Stepping 2, GenuineIntel
PNSECUREPORT	10410
TMP	C:\Windows\TEMP
PROCESSOR_ARCHITECTURE	AMD64
Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;
CSPROCESSCLUSTER	LocalCluster
PROCESSOR_REVISION	3f02
PWD	D:/data/yarnnm/local/usercache/86f9313e-6723-4bce-bb75-fc1ee83ec96e/appcache/application_1481793190043_238527/container_e91_1481793190043_238527_01_000003
ADL_TEMP_STORE_PREFIX	temp://b/H4_AFV6l3tGSltJyufha2DJ_kKqOklsMr1Wfkpm68Eg_rpfUmT2eDy8doAE7mCz9LoBPCG9KHLwDUshT-vvUvlLscajW4gb_LZb1Z6AZkDj7rncxCL88Oaz7Jmf5rFdDHyb0A8pjFMTKcsfUQi_IY3S0YwSJYumpx0XoOtEU1Jw
USERDOMAIN	SANDBOXES
CommonProgramFiles	C:\Program Files\Common Files
TEMP	C:\Windows\TEMP
USERPROFILE	C:\Windows\system32\config\systemprofile
USER	86f9313e-6723-4bce-bb75-fc1ee83ec96e
CsContainerType	Guaranteed
USERNAME	MICROSO-2FTJ1PH$
LOG_DIRS	D:/data/yarnnm/logs/application_1481793190043_238527/container_e91_1481793190043_238527_01_000003
ProgramData	C:\ProgramData
CONTAINER_ID	container_e91_1481793190043_238527_01_000003
PNSECUREIP	192.168.0.1
FP_NO_HOST_CHECK	NO
APENVIRONMENTPATH	.;..;d:\app
APPLICATION_TYPE	VERTEX
NM_HTTP_PORT	8042
HADOOP_TOKEN_FILE_LOCATION	/D:/data/yarnnm/local/usercache/86f9313e-6723-4bce-bb75-fc1ee83ec96e/appcache/application_1481793190043_238527/container_e91_1481793190043_238527_01_000003/container_tokens
SystemRoot	C:\Windows
SecurityKeyStrName	KSdDb250ZXh0SW5mb1V0aWxzLklkZW50aWZ5aW5nQ29udGV4dEluZm8ByQqWAW02OXRjdHQyZWtwaDVlYTgwbjFyYnZudDhhMW9vbzlidjQ0YWUxcGVyZ2VqbWE4cDF1dGUxZmsyYWM4Y3FwNXB1MHNpajR1dnRhYmZrMXY2ZzZiaWxzYTYwa2U4NDludWcxZ2VldTdjczFicXNtMm5hZmt0bTNwNm9qaTVwNXBydHU1ZDhjcjBiMTdtaDVmN3Q5ZTk1dQA
PROCESSOR_LEVEL	6
LOGNAME	86f9313e-6723-4bce-bb75-fc1ee83ec96e
MALLOC_ARENA_MAX	$MALLOC_ARENA_MAX
container_drain_enabled	true
NM_AUX_SERVICE_PnAuxService	RW5hYmxlZA
CONTAINERTYPE	SecureContainer
ALLUSERSPROFILE	C:\ProgramData
NM_AUX_SERVICE_mapreduce_shuffle	AAAmrAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
CONTAINER_ADL_TOKEN	m69tctt2ekph5ea80n1rbvnt8a1ooo9bv44ae1pergejma8p1ute1fk2ac8cqp5pu0sij4uvtabfk1v6g6bilsa60ke849nug1geeu7cs1bqsm2nafktm3p6oji5p5prtu5d8cr0b17mh5f7t9e95u
JOBID	{88B9850E-774B-4771-B4FA-CFF956C3D7C9}
TRUST_DOMAIN_ID	86f9313e-6723-4bce-bb75-fc1ee83ec96e
CSPROCESSROOTPROCESSID	88B9850E-774B-4771-B4FA-CFF956C3D7C9
CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
windir	C:\Windows
LOCAL_DIRS	D:/data/yarnnm/local/usercache/86f9313e-6723-4bce-bb75-fc1ee83ec96e/appcache/application_1481793190043_238527
NUMBER_OF_PROCESSORS	18
CSPROCESSNODE	localhost
APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
ProgramFiles	C:\Program Files
ComSpec	C:\Windows\system32\cmd.exe
PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
HOME	/home/
PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\;C:\Program Files\Microsoft Security Client\MpProvider\
PROMPT	$P$G
CSPROCESSJOBINFO	4hIQDoW5iEt3cUe0+s/5VsPXyeQyBQAAAGphdmEA4zIkAAAAamF2YSAtWG14ODE5Mm0gLUR6b29rZWVwZXIuc2VjdXIuLi4A7BII9N2X7slg0gEAEgI7I+syHQAAAEJONlNDSDEwMjAxMDgyM1xZQVJOUFBOTVVTRVIAARICOyM
updatedContext	updatedContext
COMPUTERNAME	MICROSO-2FTJ1PH
FOR_REST_API_MIGRATION_7215C128F4E04E5CB33116241F5C9DDE	FOR_REST_API_MIGRATION_7215C128F4E04E5CB33116241F5C9DDE
OS	Windows_NT
LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
CsProcessId	0A81E24C-5AF4-4C05-86AC-DCC2C5C245A6
CommonProgramW6432	C:\Program Files\Common Files
notifiedPN	notifiedPN
NM_PORT	10131
NM_HOST	bn6sch102010823
PUBLIC	C:\Users\Public
